VIN,predicted price,Stock #,Cab Type,Drivetrain,Rear Wheels,Fuel Type,Transmission,Color,Vehicle Trim
3GCPYFED2MG269527,41068.33,269527,Crew,4x4,SRW,Gasoline,10-Speed Automatic,Gray,LT Trail Boss
1C6SRFU96MN900640,43301.83,J296838,Crew,4x4,SRW,Gasoline,Automatic,Diamond Black Crystal Pearlcoat,TRX
1C6SRFFT3MN637323,39452.0,J296856,Crew,4x4,SRW,Gasoline,Automatic,Bright White Clearcoat,Big Horn
1C6SRFFT5MN637324,39452.0,J296898,Crew,4x4,SRW,Gasoline,Automatic,Diamond Black Crystal Pearlcoat,Big Horn
1C6RRERT9MN691357,44763.67,J296886,Crew,4x2,SRW,Gasoline,Automatic,Flame Red Clearcoat,Laramie
3GCPWBEK2MG266530,42379.5,266530,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Blue,Custom
1GCPWCED9MZ264653,38053.17,264653,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Gray,LT
3GCPWAEH8MG273870,43301.83,273870,Crew,4x2,SRW,Gasoline,6-Speed Automatic Electronic with Overdrive,Red,WT
3GCUYGET0MG270773,43723.33,270773,Crew,4x4,SRW,Diesel,10-Speed Automatic,Black,LTZ
3GCUYGED7MG280578,51303.33,280578,Crew,4x4,SRW,Gasoline,8-Speed Automatic,White,LTZ
3GCUYGET3MG274025,43723.33,D274025,Crew,4x4,SRW,Diesel,10-Speed Automatic,Gray,LTZ
1GCPWDEK9MZ267766,38053.17,267766,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,RST
3GCPWAEH0MG269182,43301.83,269182,Crew,4x2,SRW,Gasoline,6-Speed Automatic Electronic with Overdrive,Red,WT
3GCPWCED2MG283447,38053.17,283447,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,LT
3GCPWBEK1MG269418,42379.5,269418,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,Custom
3GCPWCED2MG273503,38053.17,273503,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,LT
3GCPWCED8MG269116,38053.17,269116,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,LT
3GCPWDED2MG273796,38053.17,273796,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,RST
3GCPWCED5MG242245,38053.17,242245DT,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Gray,LT
1GCUYDED8MZ263853,51303.33,263853,Crew,4x4,SRW,Gasoline,8-Speed Automatic,Gray,LT
1GCPYFED1MZ269454,41068.33,269454,Crew,4x4,SRW,Gasoline,10-Speed Automatic,Gray,LT Trail Boss
3GCPWCED0MG274410,38053.17,274410,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Gray,LT
3GCUYDED2MG238981,51303.33,238981,Crew,4x4,SRW,Gasoline,8-Speed Automatic,Gray,LT
1GCPYFED5MZ268999,41068.33,268999,Crew,4x4,SRW,Gasoline,10-Speed Automatic,Gray,LT Trail Boss
3GCPWBEK1MG266146,42379.5,266146,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,Custom
1GCPYFED9MZ269055,41068.33,269055,Crew,4x4,SRW,Gasoline,10-Speed Automatic,Gray,LT Trail Boss
1GCUYEEL2MZ183929,41068.33,183929,Crew,4x4,SRW,Gasoline,10-Speed Automatic,Black,RST
3GCPWBEK4MG276184,42379.5,276184,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,Custom
