VIN,price,Stock #,Mileage,Cab Type,Drivetrain,Fuel Type,Transmission,Color,Vehicle Trim,Rear Wheels,Cab-to-Axle
1C6RR7TT6JS267085,32209.0,6267085,48096,Crew,4x4,Gasoline,8-Speed Automatic,White,SLT,SRW,
3C63R3HJ3KG613317,47629.0,6613317,11778,Crew,4x4,Gasoline,8-Speed Automatic,White,Big Horn,SRW,
1FT8W3DTXJEB76887,71498.0,6B76887,41933,Crew,4x4,Diesel,TorqShift 6-Speed Automatic,White,Platinum,DRW,56
1C6RR7TT6JS267085,32209.0,6267085,48096,Crew,4x4,Gasoline,8-Speed Automatic,White,SLT,SRW,
3C63R3HJ3KG613317,47629.0,6613317,11778,Crew,4x4,Gasoline,8-Speed Automatic,White,Big Horn,SRW,
3GCPYBEK4MG255829,42500.0,CHM366,,Crew,4x4,Gasoline,8-Speed Automatic,Gray,Custom,SRW,
1FT8W3B68HEC69950,46253.0,6C69950,10143,Crew,4x4,Flex Fuel,TorqShift 6-Speed Automatic,White,XL,SRW,56
1FTEW1E51JFB35372,49143.0,6B35372,34480,SuperCrew,4x4,Flex Fuel,10-Speed Automatic,Black,Lariat,SRW,
1FTEW1E52LFA63732,50356.0,6A63732,19850,SuperCrew,4x4,Flex Fuel,10-Speed Automatic,Red,Lariat,SRW,
1C6SRFPT8KN592746,52676.0,6592746,34907,Crew,4x4,Gasoline,8-Speed Automatic,Off-white,Limited,SRW,
1GT42YEY3JF153902,64945.0,6153902,65143,Crew,4x4,Diesel,Allison 1000 6-Speed Automatic,White,Denali,,56
1FTEW1EP5JKD33915,40807.0,6D33915,30858,SuperCrew,4x4,Gasoline,10-Speed Automatic,Red,XLT,SRW,
1FTFW1E81MKD66007,49940.0,5D66007,,SuperCrew,4x4,Gasoline,10-Speed Automatic,White,XL,SRW,
1C6RR7UT8HS812647,39687.0,6812647,36016,Crew,4x4,Gasoline,8-Speed Automatic,Gray,Sport,SRW,
1FTEW1EP3JKC36972,40000.0,6C36972,29838,SuperCrew,4x4,Gasoline,10-Speed Automatic,Black,XLT,SRW,
1FT8W3BT1LED81326,82524.0,6D81326,11817,Crew,4x4,Diesel,10-Speed Automatic,Blue,Platinum,SRW,56
1C6SRFTT2LN207026,49992.0,6207026,11797,Crew,4x4,Gasoline,8-Speed Automatic,Gray,Rebel,SRW,
1FT8W3BT9HED54804,66848.0,6D54804,61430,Crew,4x4,Diesel,TorqShift 6-Speed Automatic,Gray,Platinum,SRW,56
1FTFW1EFXEFB78370,24797.0,6B78370,95844,SuperCrew,4x4,Flex Fuel,6-Speed Automatic Electronic,White,XLT,SRW,
3GTU2WEJ4EG268715,31209.0,6268715,101199,Crew,4x4,Gasoline,6-Speed Automatic Electronic with Overdrive,White,Denali,SRW,
1FT8W3BT7LEC34928,81989.0,6C34928,17944,Crew,4x4,Diesel,10-Speed Automatic,Red,King Ranch,SRW,56
1FT8W3DT3JEB65634,44853.0,6B65634,175815,Crew,4x4,Diesel,TorqShift 6-Speed Automatic,Black,Lariat,DRW,56
1FT8W3B66KEC00388,53707.0,6C00388,25721,Crew,4x4,Flex Fuel,TorqShift 6-Speed Automatic,White,XLT,SRW,56
1GCUYGEL1MZ228385,62965.0,CHM474,,Crew,4x4,Gasoline,10-Speed Automatic,Gray,LTZ,SRW,
1GC3YLE72MF211507,43185.0,FCHM373,,Regular,4x4,Gasoline,6-Speed Automatic,White,Work Truck,SRW,
1FT8W3B65KEC62221,54208.0,6C62221,20510,Crew,4x4,Flex Fuel,TorqShift 6-Speed Automatic,Silver,XLT,SRW,56
1FTEW1EG1FFA25902,30760.0,6A25902,103441,SuperCrew,4x4,Gasoline,6-Speed Automatic Electronic,Gray,XLT,SRW,
1FTFW1E81MFB10524,49255.0,5B10524,,SuperCrew,4x4,Gasoline,10-Speed Automatic,Gray,XL,SRW,
1GC4YNE77MF229372,47540.0,FCHM446,,Crew,4x4,Gasoline,6-Speed Automatic,White,LT,SRW,
1FTER1FH1MLD24416,28868.0,5D24416,,Super,4x4,Gasoline,10-Speed Automatic,White,XL,SRW,
1FTFW1E56MFA61603,43985.0,5A61603,,SuperCrew,4x4,Flex Fuel,10-Speed Automatic,Gray,XL,SRW,
1FTFX1E56MKD34057,41915.0,5D34057,,Super,4x4,Flex Fuel,10-Speed Automatic,White,XL,SRW,
1GTU9DED9KZ341115,52606.0,6341115,32220,Crew,4x4,Gasoline,8-Speed Automatic,Black,SLT,SRW,
3TMAZ5CN3KM088069,32990.0,NG7707A,22179,Double,4x2,Gasoline,Automatic,Gray,SR5,,
1GTP6DE19G1384144,36999.0,NG8049,59281,Crew,4x4,Diesel,Automatic,Onyx Black,4WD SLT,SRW,24
3GCNYAEH3MG286043,Call for Pricing,CP0171,,Regular,4x4,Gasoline,Automatic,Satin Steel Metallic,Work Truck,SRW,
1GT49WEY6LF200150,Call for Pricing,ND8107,8480,Crew,4x4,Diesel,Automatic,White Frost Tricoat,Denali,,55
1GT42VEY0KF280719,62999.0,ND7986,55001,Crew,4x4,Diesel,Automatic,Summit White,SLT,SRW,42
1GC4YREY2MF225049,78725.0,K4290,,Crew,4x4,Diesel,Automatic,Cherry Red Tintcoat,High Country,SRW,
1GT120E87FF584853,56949.0,ND7883,68512,Crew,4x4,Diesel,Automatic,Summit White,Denali,SRW,42
1FTEW1EF3FKE93015,Call for Pricing,ND8117A,61137,SuperCrew,4x4,Gasoline,Automatic,Blue,,SRW,
2GCVKPEC3K1202480,38949.0,K3810A,23043,Double,4x4,Gasoline,Automatic,Summit White,LT,SRW,42
1GCRYBEF9LZ125118,39885.0,ND7913,10787,Double,4x4,Gasoline,Automatic,Summit White,Custom,SRW,42
1FTEW1EFXHKD45138,35499.0,ND7893,51355,SuperCrew,4x4,Gasoline,Automatic,White,,SRW,
1GCUYGEL2KZ229185,51499.0,K4162A,39020,Crew,4x4,Gasoline,Automatic,Cajun Red Tintcoat,LTZ,SRW,33
1GC4KXEY0KF212948,69999.0,NG7857A,31818,Crew,4x4,Diesel,Automatic,Summit White,LTZ,SRW,42
1GTP9EEL0LZ124242,58449.0,NG7951,34279,Crew,4x4,Gasoline,Automatic,Onyx Black,AT4,SRW,33
3GCNWAEH1MG239793,28440.0,K4257,,Regular,4x2,Gasoline,Automatic,Summit White,Work Truck,SRW,
1FTEW1EGXLFB71999,66469.0,ND8090,7504,SuperCrew,4x4,Gasoline,Automatic,White,Limited,SRW,
1GCVKREH1FZ190544,32999.0,NM8105,55915,Double,4x4,Flex Fuel,Automatic,Tungsten Metallic,LT,SRW,42
1GT42WEY1KF135730,72999.0,ND8075,21498,Crew,4x4,Diesel,Automatic,Summit White,Denali,,56
1GT49VEY6LF239850,79999.0,NM8093,9343,Crew,4x4,Diesel,Automatic,Summit White,AT4,,42
1FT8W3BT4JEB67251,Call for Pricing,ND8125,56598,Crew,4x4,Diesel,Automatic,White,,SRW,56
1GC4YREYXLF139406,Call for Pricing,ND8109,13410,Crew,4x4,Diesel,Automatic,Summit White,High Country,SRW,42
1GC4YPEY0MF224101,77530.0,K4298,,Crew,4x4,Diesel,Automatic,Mosaic Black Metallic,LTZ,SRW,
3C6UR5FL5KG537328,62729.0,ND7998,38725,Crew,4x4,Diesel,Automatic,Maximum Steel Metallic Clearcoat,Laramie,SRW,
1GC4K0E80GF162180,59999.0,NM8045,56088,Crew,4x4,Diesel,Automatic,Tungsten Metallic,LTZ,,56
1GC4YVEY2LF227066,Call for Pricing,ND8098,6485,Crew,4x4,Diesel,Automatic,Summit White,High Country,SRW,42
1GCUYDED2KZ422718,41949.0,ND8072,13345,Crew,4x4,Gasoline,Automatic,Silver Ice Metallic,LT,SRW,33
1GT424E80FF157194,Call for Pricing,ND7992,23619,Crew,4x4,Diesel,Automatic,Iridium Metallic,Denali,,56
1GCUYGED5KZ353668,Call for Pricing,ND8131,7177,Crew,4x4,Gasoline,Automatic,Shadow Gray Metallic,LTZ,SRW,42
1FT8W3BT7HED81709,66999.0,ND8073,43774,Crew,4x4,Diesel,Automatic,Silver,,SRW,56
1GC4K0E85GF197054,Call for Pricing,ND8114,68459,Crew,4x4,Diesel,Automatic,Summit White,LTZ,SRW,42
1GTP9AEH9KZ281643,Call for Pricing,ND8134,24042,Crew,4x4,Gasoline,Automatic,Quicksilver Metallic,Base,SRW,33
1FT8W3BT6JEC32455,Call for Pricing,ND8099,48511,Crew,4x4,Diesel,Automatic,BROWN,,SRW,56
1GC4YREY3MF217008,77675.0,K4284,,Crew,4x4,Diesel,Automatic,Cherry Red Tintcoat,High Country,SRW,
1GCUYGEL8KZ330795,52649.0,NG7980,16088,Crew,4x4,Gasoline,Automatic,Summit White,LTZ,SRW,42
3GCPYBEK0MG282428,43005.0,K4303,,Crew,4x4,Gasoline,Automatic,Summit White,Custom,SRW,
3GCPYFED8MG279818,57700.0,K4300,,Crew,4x4,Gasoline,Automatic,Northsky Blue Metallic,LT Trail Boss,SRW,
1GCUYGEL3KZ240096,59999.0,ND8128,9928,Crew,4x4,Gasoline,Automatic,Black,LTZ,SRW,33
3GCUYHED3MG269924,64575.0,K4287,,Crew,4x4,Gasoline,Automatic,Cherry Red Tintcoat,High Country,SRW,
1GT12TEY0JF214919,62999.0,ND8003,32554,Crew,4x4,Diesel,Automatic,Onyx Black,SLT,SRW,42
1FT8W3BT0GEA68001,Call for Pricing,ND8110,71520,Crew,4x4,Diesel,Automatic,Blue,,SRW,
1GCUYGEL4KZ398088,51949.0,NG7828,18640,Crew,4x4,Gasoline,Automatic,Summit White,LTZ,SRW,33
1GT49WEY3LF124905,Call for Pricing,ND8028,18771,Crew,4x4,Diesel,Automatic,Summit White,Denali,,55
1GCPTEE15J1225238,43999.0,NG8012,27605,Crew,4x4,Diesel,Automatic,Black,4WD ZR2,SRW,24
1GT49WEY9LF318791,Call for Pricing,ND8008,407,Crew,4x4,Diesel,Automatic,Onyx Black,Denali,,42
1GT42WEY2KF251874,69449.0,NG7856,12140,Crew,4x4,Diesel,Automatic,White Frost Tricoat,Denali,SRW,42
1GC4YVEY9MF220892,80550.0,K4292,,Crew,4x4,Diesel,Automatic,Iridescent Pearl Tricoat,High Country,,55
5TFHY5F15LX883663,52499.0,ND7967,15857,,4x4,Gasoline,Automatic,Red,Limited,,
5TFCZ5AN0KX183503,42949.0,NM8088,22344,Double,4x4,Gasoline,Automatic,White,TRD Sport,,
5TFDY5F1XJX685219,42999.0,NM8104,71314,Crew,4x4,Gasoline,Automatic,Gray,SR5,,
1GT42WEY1KF245631,75949.0,ND7896,13154,Crew,4x4,Diesel,Automatic,Onyx Black,Denali,SRW,42
1GT49WEY1LF253919,79949.0,ND8085,10815,Crew,4x4,Diesel,Automatic,White Frost Tricoat,Denali,,42
1GC4K0C80FF627185,Call for Pricing,ND8118A,48850,Crew,4x4,Diesel,Automatic,Deep Ocean Blue Metallic,LTZ,SRW,42
1GC4YVEY9LF321977,89999.0,NM8152,181,Crew,4x4,Diesel,Automatic,Black,High Country,,55
1GT42YEY4JF252826,67949.0,ND7917,42967,Crew,4x4,Diesel,Automatic,White Frost Tricoat,Denali,,56
1FTEW1EF1GFC22450,Call for Pricing,ND7898B1,31772,SuperCrew,4x4,Gasoline,Automatic,Gray,BLACK,SRW,
1GC4KXEY5KF151483,66999.0,K4194A,38789,Crew,4x4,Diesel,Automatic,Summit White,LTZ,,56
5TFDY5F14KX787018,48499.0,NM8101,19210,Crew,4x4,Gasoline,Automatic,White,TRD Pro,,
3GCUYHEL5MG277868,68910.0,K4299,,Crew,4x4,Gasoline,Automatic,Black,High Country,SRW,
1GCUYEED3LZ364996,52349.0,ND7899,350,Crew,4x4,Gasoline,Automatic,Summit White,RST,SRW,33
1FT8W3BT7FEB47244,53999.0,ND7975,59276,Crew,4x4,Diesel,Automatic,BROWN,,SRW,
1FT8W3BTXKEE16220,Call for Pricing,ND8974,34939,Crew,4x4,Diesel,Automatic,BLACK,,SRW,56
1GCUYGED8KZ233833,48468.0,ND7783,26338,Crew,4x4,Gasoline,Automatic,Silver Ice Metallic,LTZ,SRW,33
1GCUYEEL4MZ183043,57370.0,K4285,,Crew,4x4,Gasoline,Automatic,Black,RST,SRW,
1GTU9FETXLZ123611,63999.0,ND8001,7616,Crew,4x4,Diesel,Automatic,Satin Steel Metallic,Denali,SRW,33
3GCPYBEKXMG288964,41920.0,K4302,,Crew,4x4,Gasoline,Automatic,Black,Custom,SRW,
3GCUYGET5LG257063,57449.0,NG8022,6340,Crew,4x4,Diesel,Automatic,Summit White,LTZ,SRW,42
1GT49WEY4LF202964,83949.0,ND7870,13962,Crew,4x4,Diesel,Automatic,Onyx Black,Denali,,42
1GTU9BED5LZ190070,47749.0,NG7804,7495,Crew,4x4,Gasoline,Automatic,Quicksilver Metallic,SLE,SRW,33
1GC1KSEY9KF114278,53999.0,NG8032,31074,Crew,4x4,Diesel,Automatic,Summit White,LT,SRW,42
1GTP9EEL3LZ360447,65299.0,ND8092,3145,Crew,4x4,Gasoline,Automatic,Onyx Black,AT4,SRW,33
1GCPYBEK1MZ265296,42315.0,K4291,,Crew,4x4,Gasoline,Automatic,Shadow Gray Metallic,Custom,SRW,
1FT8W3BT9KEE30254,80949.0,ND7860,15455,Crew,4x4,Diesel,Automatic,Silver,,SRW,56
3GCUYEED1KG243608,54850.0,XP5858,6,Crew,4x4,Gasoline,Automatic,Oakwood Metallic,RST,SRW,33
1FT8W3BT1GED34139,Call for Pricing,ND8089,68578,Crew,4x4,Diesel,Automatic,White,,SRW,
3GCPYBEKXMG288690,41920.0,K4301,,Crew,4x4,Gasoline,Automatic,Black,Custom,SRW,
3GCUYEED3MG248280,55790.0,K4261,,Crew,4x4,Gasoline,Automatic,Cherry Red Tintcoat,RST,SRW,
1GCUYGED0KZ193246,49949.0,ND7987A,9950,Crew,4x4,Gasoline,Automatic,Summit White,LTZ,SRW,42
1GT42VEY8KF217562,Call for Pricing,ND8132,51967,Crew,4x4,Diesel,Automatic,Deep Mahogany Metallic,SLT,SRW,42
1GT49VEY9LF210889,81999.0,NM8173,26732,Crew,4x4,Diesel,Automatic,Pacific Blue Metallic,AT4,,42
1FTFW1ET4CFA30296,Call for Pricing,K4283A,173328,Super,4x4,Gasoline,Automatic,,,SRW,
3C6TR5JT2DG547692,Call for Pricing,NM8078A,89913,Crew,4x4,Gasoline,Automatic,Bright White,Outdoorsman,SRW,
1GC4YVEY2MF132654,Call for Pricing,ND8167,972,Crew,4x4,Diesel,Automatic,Iridescent Pearl Tricoat,High Country,SRW,42
1GC4K1E87DF201722,Call for Pricing,K4245A1,83730,Crew,4x4,Diesel,Automatic,Summit White,High Country,,
1GCPYFED8KZ136395,Call for Pricing,ND8177,40066,Crew,4x4,Gasoline,Automatic,White,LT Trail Boss,SRW,33
5TFUU4EN9DX049440,30999.0,NM8156,42693,Extra,4x4,Gasoline,Manual,Silver,GRAY,,
3C6UR5DJ8HG503135,37949.0,NG7953A,87485,Crew,4x4,Gasoline,Automatic,Brilliant Black Crystal Pearlcoat,Big Horn,SRW,
1GCGTEEN0J1277962,40949.0,K4177A1,4706,Crew,4x4,Gasoline,Automatic,Cajun Red Tintcoat,4WD ZR2,SRW,24
2GCEK19T111372472,Call for Pricing,NG7931A,210495,Extended,4x4,Gasoline,Automatic,Indigo Blue Metallic,LS,SRW,
3C6UR5DL2GG340756,Call for Pricing,ND8160,68143,Crew,4x4,Diesel,Automatic,Bright White Clearcoat,Big Horn,SRW,
1FT8W3BT6KED97424,Call for Pricing,ND8145,31302,Crew,4x4,Diesel,Automatic,PEARL WHITE,,SRW,56
1FT8W3B63KEE46637,Call for Pricing,ND8169,24901,Crew,4x4,Flex Fuel,Automatic,White,,SRW,56
1FT8W4DT7HEE16025,Call for Pricing,ND8135,56003,Crew,4x4,Diesel,Automatic,White,,DRW,
1FT8W3BT9KEF26403,Call for Pricing,ND8150A,20539,Crew,4x4,Diesel,Automatic,BLACK,,SRW,56
3GCUKSEC1JG217984,41999.0,NG7865A,71997,Crew,4x4,Gasoline,Automatic,Cajun Red Tintcoat,LTZ,SRW,33
1GC1KTEY8KF125665,Call for Pricing,ND8095,9487,Crew,4x4,Diesel,Automatic,Black,LTZ,SRW,42
1FT8W3AT1JEB62090,Call for Pricing,ND8133,14955,Crew,4x2,Diesel,Automatic,White,,SRW,56
3GCEC13Y97G517226,Call for Pricing,XP5865A,73486,Crew,4x2,Gasoline,Automatic,Dark Blue Metallic,LT w/2LT,SRW,
1FTFW1RG0JFD87193,Call for Pricing,ND8154,28310,SuperCrew,4x4,Gasoline,Automatic,BLACK,Raptor,SRW,
1GT42YEYXHF181240,Call for Pricing,ND8071A,74094,Crew,4x4,Diesel,Automatic,Onyx Black,Denali,SRW,42
3GCUKREC5EG214049,Call for Pricing,K4274A,137888,Crew,4x4,Flex Fuel,Automatic,Deep Ruby Metallic,LT,SRW,42
1GCVKREC0HZ361324,37990.0,NG7954A,28854,Double,4x4,Gasoline,Automatic,Black,LT,SRW,42
1GT42VCY0JF248855,Call for Pricing,ND8147,28810,Crew,4x4,Diesel,Automatic,Summit White,Work Truck,,56
1FT8W3B60KEF30477,54859.0,ND8127,21231,Crew,4x4,Flex Fuel,Automatic,White,,SRW,56
1GCPYFED3MZ124495,56090.0,40425,,Crew,4x4,Gasoline,Automatic,Northsky Blue Metallic,LT Trail Boss,SRW,
2GCEK13TX61197994,11990.0,K4289A,164349,Crew,4x4,Gasoline,Automatic,Blue Granite Metallic,LT3,SRW,
1GT42YE88GF234967,Call for Pricing,ND7941A,41315,Crew,4x4,Diesel,Automatic,Deep Garnet Metallic,Denali,SRW,42
1GC4K0E88FF560378,60999.0,ND8115,75567,Crew,4x4,Diesel,Automatic,Black,LTZ,,56
1FT7W2B66LED27228,Call for Pricing,ND8151,54,Crew,4x4,Gasoline,Automatic,White,,SRW,56
1GC4KYEY8KF118161,Call for Pricing,ND8103,19011,Crew,4x4,Diesel,Automatic,Summit White,High Country,SRW,42
1GT49REY1LF135757,Call for Pricing,ND8130,29630,Crew,4x4,Diesel,Automatic,White Frost Tricoat,Denali,SRW,42
1GCPYFED2LZ307398,Call for Pricing,ND8155,13900,Crew,4x4,Gasoline,Automatic,Black,LT Trail Boss,SRW,33
1FTNX21F11EC49976,20990.0,K4160B,150312,Super,4x4,Diesel,,White,,SRW,
1GT42YE87GF219652,Call for Pricing,W0634A,43292,Crew,4x4,Diesel,Automatic,Summit White,Denali,,56
1GT42WEY4KF222036,Call for Pricing,ND8176,27566,Crew,4x4,Diesel,Automatic,BLACK,Denali,SRW,42
1FTFW1EF2DFA48906,Call for Pricing,K4260A,146814,SuperCrew,4x4,Flex Fuel,Automatic,White,,SRW,
1GC4K0E8XGF267695,63949.0,NG7835B,55479,Crew,4x4,Diesel,Automatic,Deep Ocean Blue Metallic,LTZ,,56
1GTG6DEN1J1157573,Call for Pricing,K4093C,24212,Crew,4x4,Gasoline,Automatic,Onyx Black,4WD SLT,SRW,36
1GC4K0C86FF553917,62515.0,K15778A,110552,Crew,4x4,Diesel,Automatic,Silver Ice Metallic,LTZ,SRW,42
3GCUKREC5EG405129,26990.0,ND7873A,104807,Crew,4x4,Flex Fuel,Automatic,,LT,SRW,
1C6RR7NM8FS641242,33299.0,ND8119,89311,Crew,4x4,Diesel,Automatic,True Blue Pearlcoat,Laramie,SRW,
1FTEW1EF9HFC47579,Call for Pricing,X3115,45032,SuperCrew,4x4,Gasoline,Automatic,Oxford White,XLT,SRW,
1FTEW1EGXHFC69857,Call for Pricing,X3150,58051,SuperCrew,4x4,Gasoline,Automatic,Ruby Red Metallic Tinted Clearcoat,XLT,SRW,
1FTEW1EG0HFC70418,Call for Pricing,X3240,21180,SuperCrew,4x4,Gasoline,Automatic,Shadow Black,Platinum,SRW,
1FT8W3BT7KEC47984,Call for Pricing,X3141,43044,Crew,4x4,Diesel,Automatic,White Platinum Metallic Tri-Coat,LARIAT,SRW,56
1FTFW1E52MFA84277,Call for Pricing,F10173,,SuperCrew,4x4,Gasoline,Automatic,Oxford White,XLT,SRW,
1FT8W3BT5KEE78429,Call for Pricing,X3162,34123,Crew,4x4,Diesel,Automatic,Magnetic Metallic,LARIAT,SRW,56
1FTFW1E89MFA79233,Call for Pricing,F10280,,SuperCrew,4x4,Gasoline,Automatic,Oxford White,LARIAT,SRW,
1FTEW1EG1JFC06071,Call for Pricing,X3137,33104,SuperCrew,4x4,Gasoline,Automatic,White Platinum Metallic Tri-Coat,Platinum,SRW,
1FTEW1EP2JFD40099,Call for Pricing,X3074,16808,SuperCrew,4x4,Gasoline,Automatic,Lightning Blue,XLT,SRW,
1FTEW1EP6JFA45992,Call for Pricing,X3234,36229,SuperCrew,4x4,Gasoline,Automatic,Lightning Blue,XLT,SRW,
1GT49WEY4LF253302,Call for Pricing,X3037,16557,Crew,4x4,Diesel,Automatic,Quicksilver Metallic,Denali,,
1GT121E82EF134645,Call for Pricing,F00922A,87150,Crew,4x4,Diesel,Automatic,Summit White,SLT,,
1GT12REY4KF151957,Call for Pricing,X3153,8732,Crew,4x4,Diesel,Automatic,Summit White,SLT,SRW,
1FTFW1E86MFA79237,Call for Pricing,F10279,,SuperCrew,4x4,Gasoline,Automatic,Oxford White,XLT,SRW,
1FTER4FH3MLD24421,Call for Pricing,F10165,,SuperCrew,4x4,Gasoline,Automatic,Blue,XL,SRW,
1FT8W3BT3HED82002,Call for Pricing,X2900,47781,Crew,4x4,Diesel,Automatic,Shadow Black,Platinum,SRW,56
1FT8W3BT5LEC34197,Call for Pricing,X2899,9023,Crew,4x4,Diesel,Automatic,Iconic Silver Metallic,XLT,SRW,56
1N6AA1ED9MN511263,48325.0,N210024,,,4x4,Gasoline,9-Speed Automatic,Red,SV,,
3C6RR7LT8LG182078,40000.0,C41344,7910,Crew,4x4,Gasoline,8-Speed Automatic,Black,SLT,SRW,
1C6RR7LT9LS143296,39000.0,C41320,9064,Crew,4x4,Gasoline,8-Speed Automatic,Black,SLT,SRW,
3C6RR7LT1LG182004,39000.0,C41324,7118,Crew,4x4,Gasoline,8-Speed Automatic,Gray,SLT,SRW,
3C6RR7LT0LG182060,41000.0,C41343,5623,Crew,4x4,Gasoline,8-Speed Automatic,Black,SLT,SRW,
1C6SRFJT7LN312423,49000.0,C41330,18323,Crew,4x4,Gasoline,8-Speed Automatic,Red,Laramie,SRW,
3GCUKREC1JG305331,49000.0,JG305331,18554,Crew,4x4,Gasoline,6-Speed Automatic Electronic with Overdrive,White,LT,SRW,33
5TFUY5F17HX632794,39000.0,HX632794,19700,Double,4x4,Gasoline,6-Speed Automatic Electronic with Overdrive,White,SR5,,
1C6RD7GT8CS171972,31000.0,CS171972,52263,Quad,4x4,Flex Fuel,6-Speed Automatic,Gray,Big Horn,SRW,
1C6SRFJT0MN682789,56290.0,R210262,,Crew,4x4,Gasoline,8-Speed Automatic,Red,Laramie,SRW,
1FT8W3BT7LEC34170,Call for Pricing,X2754,8942,Crew,4x4,Diesel,Automatic,Iconic Silver Metallic,LARIAT,SRW,56
1FTEX1CP9MKD38636,Call for Pricing,F10126,,Super,4x2,Gasoline,Automatic,Oxford White,XL,SRW,
1FTEW1EG1JKC17336,Call for Pricing,X3202,41041,SuperCrew,4x4,Gasoline,Automatic,Lightning Blue,LARIAT,SRW,
1GCGTEEN3L1112314,Call for Pricing,X2993,12190,Crew,4x4,Gasoline,Automatic,Black,4WD ZR2,SRW,24
1FT8W3BT1LEC94476,Call for Pricing,X2896,9473,Crew,4x4,Diesel,Automatic,Iconic Silver Metallic,LARIAT,SRW,56
1FTFW1E89MKD18397,Call for Pricing,F10128,,SuperCrew,4x4,Gasoline,Automatic,Red Metallic,XLT,SRW,
1FT8W3BT7LEC34167,Call for Pricing,X2755,9022,Crew,4x4,Diesel,Automatic,Iconic Silver Metallic,LARIAT,SRW,56
1GTV2LEH1HZ316448,Call for Pricing,X3139,31560,Double,4x4,Flex Fuel,Automatic,Onyx Black,Base,SRW,42
1N6AD0EVXKN790696,27500.0,22443,23358,Crew,4x4,Gasoline,5-Speed Automatic with Overdrive,Blue,SV,,
1N6AD0EV5KN770145,24900.0,22448,57788,Crew,4x4,Gasoline,5-Speed Automatic with Overdrive,Red,SV,,
1FT8W3BT1KEF50193,83000.0,KEF50193,8238,Crew,4x4,Diesel,TorqShift 6-Speed Automatic,Black,Limited,SRW,56
1C6SRFJTXLN306843,53000.0,C41331,17104,Crew,4x4,Gasoline,8-Speed Automatic,White,Laramie,SRW,
1C6SRFJT1LN312420,52000.0,C41325,17020,Crew,4x4,Gasoline,8-Speed Automatic,Black,Laramie,SRW,
1C6RR7LT0MS505887,45745.0,R210135,,Crew,4x4,Gasoline,8-Speed Automatic,Blue,Warlock,SRW,
1C6RR7LTXMS505881,46245.0,R210166,,Crew,4x4,Gasoline,8-Speed Automatic,Red,Warlock,SRW,
1FTEW1EP3KFA88994,Call for Pricing,X3119,30201,SuperCrew,4x4,Gasoline,Automatic,Oxford White,,SRW,
1FTEW1E55JFB45760,Call for Pricing,X2618A,90633,SuperCrew,4x4,Gasoline,Automatic,Magnetic Metallic,Platinum,SRW,
1FTER1FH1MLD18566,Call for Pricing,F10256,,Super,4x4,Gasoline,Automatic,Gray,XLT,SRW,
1GT42VEY5KF257193,Call for Pricing,X2971,22191,Crew,4x4,Diesel,Automatic,Summit White,SLT,,
1FT8W3BT3LEC94477,Call for Pricing,X2853,9416,Crew,4x4,Diesel,Automatic,Iconic Silver Metallic,LARIAT,SRW,56
1FT8W3BT7KEE98004,Call for Pricing,X2790,29002,Crew,4x4,Diesel,Automatic,Magnetic Metallic,Platinum,SRW,56
1FT8W3BT1LEC34181,Call for Pricing,X3111,7637,Crew,4x4,Diesel,Automatic,Magnetic Metallic,LARIAT,SRW,56
5TBET34136S517728,Call for Pricing,X2934B,167918,Double,4x2,Gasoline,Automatic,Phantom Gray Pearl,SR5,,
1FTEX1CP5MKD38634,Call for Pricing,F10118,,Super,4x2,Gasoline,Automatic,Oxford White,XL,SRW,
1FTER4FH0LLA46284,Call for Pricing,F00806,,SuperCrew,4x4,Gasoline,Automatic,Shadow Black,XLT,SRW,
1FTFW1E8XMKD23320,Call for Pricing,F10099,,SuperCrew,4x4,Gasoline,Automatic,Stone Gray,XLT,SRW,
1FTEX1CP7MKD38635,Call for Pricing,F10120,,Super,4x2,Gasoline,Automatic,Oxford White,XL,SRW,
1FTEW1EG5JKC75238,Call for Pricing,X3201,20934,SuperCrew,4x4,Gasoline,Automatic,Ruby Red Metallic Tinted Clearcoat,XLT,SRW,
1FT8W3BT0KEC64237,Call for Pricing,X2847,33369,Crew,4x4,Diesel,Automatic,Oxford White,XLT,SRW,56
1FTEW1EG8JFA81036,Call for Pricing,X3200,39323,SuperCrew,4x4,Gasoline,Automatic,Shadow Black,Limited,SRW,
1FT8W3BT2KEG14354,Call for Pricing,X2865,9496,Crew,4x4,Diesel,Automatic,Ingot Silver Metallic,LARIAT,SRW,56
1N6AA1ED4MN506441,49265.0,N210007,,,4x4,Gasoline,9-Speed Automatic,Red,SV,,
1C6SRFJT3MN682785,56290.0,R210270,,Crew,4x4,Gasoline,8-Speed Automatic,White,Laramie,SRW,
1FT8W3BT5LEC94478,Call for Pricing,X2852,9384,Crew,4x4,Diesel,Automatic,Oxford White,LARIAT,SRW,56
1FTEW1EP9MKD41746,Call for Pricing,F10196,,SuperCrew,4x4,Gasoline,Automatic,Black,XL,SRW,
1FTFW1EF7GKE85277,Call for Pricing,X3231,32797,SuperCrew,4x4,Gasoline,Automatic,Magnetic Metallic,XLT,SRW,
1FTER4FH6MLD24347,Call for Pricing,F10232,,SuperCrew,4x4,Gasoline,Automatic,Gray,LARIAT,SRW,
1FTER1FH0MLD04075,Call for Pricing,F10072,,Super,4x4,Gasoline,Automatic,Shadow Black,XLT,SRW,
