VIN,price,Stock #,Mileage,Cab Type,Drivetrain,Fuel Type,Transmission,Color,Vehicle Trim,Rear Wheels,Cab-to-Axle
1C6RR7MT4DS709137,Call for Pricing,P6407A,92406,Crew,4x4,Gasoline,Automatic,White,Sport,SRW,
1FTEW1E5XJKE61369,Call for Pricing,8126,48834,SuperCrew,4x4,Flex Fuel,10-Speed Automatic,White,,SRW,
3GCUYDET5MG262196,Call for Pricing,20497,,Crew,4x4,Diesel,10-Speed Automatic,White,LT,SRW,
1GC1KWEY9JF105750,Call for Pricing,20384B,68705,Crew,4x4,Diesel,Allison 1000 6-Speed Automatic,Silver,LTZ,SRW,42
1GT12TEY8JF229846,Call for Pricing,P6421,72785,Crew,4x4,Diesel,Allison 1000 6-Speed Automatic,White,SLT,SRW,
1GCUKREC0GF205697,Call for Pricing,20410B,,Crew,4x4,Gasoline,6-Speed Automatic Electronic with Overdrive,White,LT,SRW,
1GTR9AEF5KZ298138,Call for Pricing,P6473,7474,Double,4x4,Gasoline,6-Speed Automatic,White,Base,SRW,42
1FTFW1EF6DFA46561,Call for Pricing,T21892A,172342,SuperCrew,4x4,Flex Fuel,6-Speed Automatic Electronic,,,SRW,
1GCVKREC0JZ275758,Call for Pricing,19882B,39920,Double,4x4,Gasoline,6-Speed Automatic Electronic with Overdrive,White,LT,SRW,42
3C63D3JL4CG313801,Call for Pricing,P6467,36720,Crew,4x4,Diesel,6-Speed,White,Laramie,SRW,
3GCUKSEC5FG251482,Call for Pricing,P6444A,86131,Crew,4x4,Gasoline,6-Speed Automatic Electronic with Overdrive,Blue,LTZ,SRW,33
3GTU9DEDXLG112279,Call for Pricing,P6460,21443,Crew,4x4,Gasoline,10-Speed Automatic,Red,SLT,SRW,
3GCUYHEL6MG266636,Call for Pricing,20498,,Crew,4x4,Gasoline,10-Speed Automatic,Gray,High Country,SRW,
1FTPW14507KB10084,Call for Pricing,19844C,128000,Super,4x4,Gasoline,4-Speed Automatic with Overdrive,Blue,King Ranch,SRW,
3GCPYBEK5MG263826,Call for Pricing,20490,,Crew,4x4,Gasoline,8-Speed Automatic,Black,Custom,SRW,
1C6SRFJT0MN512612,59530.0,MN512612,,Crew,4x4,Gasoline,,,Laramie,SRW,
1C6SRFFT8MN565972,45165.0,MN565972,,Crew,4x4,Gasoline,,,Big Horn,SRW,
3C63RRGL7MG565815,59060.0,MG565815,,Crew,4x4,Diesel,,,Tradesman,DRW,
3C63RRGL5MG565814,59160.0,MG565814,,Crew,4x4,Diesel,,,Tradesman,DRW,
3C63RRJL2MG589125,77200.0,MG589125,,Crew,4x4,Diesel,,,Laramie,DRW,
3C6UR5DL5MG557603,67515.0,MG557603,,Crew,4x4,Diesel,,,Big Horn,SRW,
3C6UR5FL4MG543785,76800.0,MG543785,,Crew,4x4,Diesel,,,Laramie,SRW,
