Color,mean,median,var,std,max,min,count
sand dune metallic,49621.67,52670.0,27877008.33333334,5279.868211739128,52670.0,43525.0,3
sat steel met,68213.33,68170.0,5633.333333333176,75.0555349946503,68300.0,68170.0,3
satin steel gray metallic,33428.0,33428.0,,,33428.0,33428.0,1
satin steel metallic,50249.85,50782.5,68727505.96224569,8290.205423404519,70694.0,34220.0,72
shadow black,40831.35,39880.0,70028655.88873215,8368.312607015356,80633.0,28798.0,107
shadow black metallic,34687.25,34784.5,13648484.249999998,3694.3855037069425,38651.0,30529.0,4
shadow gray metallic,49576.16,49973.5,93741878.26512101,9682.038951848986,77999.0,28999.0,32
silver,44291.8,41390.0,163407900.16868016,12783.109956840712,87500.0,14623.0,236
silver birch metallic,18988.0,18988.0,2.0,1.4142135623730951,18989.0,18987.0,2
silver ice,52421.5,52421.5,181546512.5,13473.919715509663,61949.0,42894.0,2
silver ice metallic,44100.61,42310.0,137270067.61873877,11716.230947652866,77465.0,24999.0,75
silver metallic,39422.5,39422.5,3419112.5,1849.0842328028218,40730.0,38115.0,2
silver spruce,67973.0,67973.0,11319282.0,3364.4140648855932,70352.0,65594.0,2
siren red tintcoat,38847.0,38847.0,1434818.0,1197.8388873300114,39694.0,38000.0,2
smoked quartz,63471.25,62722.5,86068522.91666667,9277.31226792904,75525.0,52915.0,4
smoked quartz metallic tinted clearcoat,68600.0,68600.0,,,68600.0,68600.0,1
smokey quartz metallic,56709.0,56709.0,,,56709.0,56709.0,1
sonoma red metallic,48599.0,48599.0,369920000.0,19233.30444827409,62199.0,34999.0,2
space white,48808.5,49910.0,64747916.052631594,8046.608978484763,63355.0,37850.0,20
space white metallic,54231.26,55990.0,55488742.92885375,7449.076649414594,66760.0,41395.0,23
sport red metallic,12980.0,12980.0,,,12980.0,12980.0,1
star white,68887.55,67680.0,71624485.87272726,8463.125065407416,82650.0,58710.0,11
star white met,77150.0,77150.0,,,77150.0,77150.0,1
star white meta,68351.0,68351.0,,,68351.0,68351.0,1
star white metallic tri-coat,78143.97,79040.0,96843453.84280308,9840.907165642966,108410.0,53124.0,33
star white metallic trico,69631.67,69120.0,33225146.66666665,5764.125837164439,79540.0,61730.0,6
star white tricoat,69465.0,71090.0,9283975.0,3046.9616013333675,71355.0,65950.0,3
star wht met tc,79422.5,79422.5,14338012.5,3786.556813253962,82100.0,76745.0,2
steel,79234.0,79234.0,,,79234.0,79234.0,1
sterling gray metallic,21607.5,20341.5,21739337.666666668,4662.546264292363,27762.0,17985.0,4
sterling grey metallic,25888.0,25888.0,,,25888.0,25888.0,1
stone blue metallic,35415.5,35428.5,41183125.666666664,6417.4080177799715,40997.0,29808.0,4
stone gray,53412.91,56575.0,207101341.09090906,14391.015985360766,73105.0,23888.0,11
stone gray metallic,62234.4,69500.0,197688346.3,14060.168786326856,76424.0,42639.0,5
stone grey,68510.0,68510.0,,,68510.0,68510.0,1
summit white,46094.06,45051.0,182134199.87642238,13495.71042503589,82933.0,12750.0,308
summit wht,35525.0,35525.0,,,35525.0,35525.0,1
tank,53905.0,55730.0,30139275.0,5489.924862873808,58250.0,47735.0,3
tank clear-coat  paint,48125.0,48125.0,,,48125.0,48125.0,1
tank clearcoat,52560.0,52560.0,,,52560.0,52560.0,1
taupe gray metallic,20980.0,20980.0,,,20980.0,20980.0,1
true blue pearlcoat,36081.0,33299.0,278814172.0,16697.729546258677,53995.0,20949.0,3
tungsten,30335.0,30335.0,,,30335.0,30335.0,1
tungsten metallic,33353.8,35239.5,52583115.06666667,7251.421589362093,42000.0,23197.0,10
tuxedo black me,29228.0,29228.0,,,29228.0,29228.0,1
tuxedo black metallic,27502.54,29652.0,39279688.769230776,6267.351016915422,39386.0,15495.0,13
vel blue,57775.0,57775.0,,,57775.0,57775.0,1
velocity blue,44910.9,41175.0,129644498.14024386,11386.153790470418,70880.0,29357.0,41
velocity blue m,38410.0,38410.0,,,38410.0,38410.0,1
velocity blue metallic,45195.31,40645.0,148986427.13960785,12205.99963704767,85200.0,30529.0,51
vermillion red,44975.67,48967.0,47792225.33333334,6913.19212327658,48967.0,36993.0,3
vibrant white c,46495.0,46495.0,24500000.0,4949.747468305833,49995.0,42995.0,2
victory red,30267.0,30267.0,,,30267.0,30267.0,1
western brown,42496.5,42496.5,12515004.5,3537.655226276297,44998.0,39995.0,2
white,46242.26,43900.0,186698792.2461543,13663.776646526183,130555.0,13000.0,935
white 6f1m6 gc2,70534.0,70534.0,,,70534.0,70534.0,1
white diamond tricoat,36972.0,36972.0,8217458.0,2866.610890930264,38999.0,34945.0,2
white frost tricoat,68448.27,69449.0,41714844.41818184,6458.702998139939,78580.0,56999.0,11
white gold,39171.5,39171.5,60137544.5,7754.8400692728665,44655.0,33688.0,2
white pearl,74530.0,74530.0,,,74530.0,74530.0,1
white platinum,46849.92,45966.0,77410318.4469697,8798.31338649458,59951.0,32995.0,12
white platinum metallic tri coat,53881.0,53881.0,,,53881.0,53881.0,1
white platinum metallic tri-coat,60368.0,54840.0,149901864.1111111,12243.441677531326,79997.0,43348.0,19
white sand tri-coat metallic,22888.0,22888.0,,,22888.0,22888.0,1
