Rear Wheels,mean,median,var,std,max,min,count
DRW,65730.47,66440.5,250322440.77990782,15821.581487952077,106567.0,13999.0,122
SRW,48255.65,45460.0,197656115.288168,14059.022558064555,130555.0,8987.0,6774
