Cab Type,mean,median,var,std,max,min,count
Crew,54232.79,53525.0,203320065.0773019,14259.03450719234,130555.0,8987.0,3316
Double,37338.98,37408.5,47399700.40996667,6884.744033728972,51065.0,19987.0,118
Extended,27473.45,25997.5,70988077.11688311,8425.442250522112,52270.0,11799.0,22
Mega,70186.15,70160.0,120293715.20754713,10967.849160503036,87780.0,46995.0,53
Quad,37048.07,37074.0,25709607.43434951,5070.464222765951,49635.0,19160.0,431
Regular,37040.6,35065.0,107266718.46243484,10356.964732122768,114245.0,12750.0,272
Super,37693.48,37322.5,103605334.80725552,10178.670581527605,73115.0,9684.0,446
SuperCrew,46238.87,43352.0,142160057.53093708,11923.089261216535,102615.0,17373.0,2238
